Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
30/06/2017;METALFRIO;FRIO3;45.51;559.39;0.08;12.29;-26.56;3.02;-2.37
31/12/2016;METALFRIO;FRIO3;57.09;423.74;0.13;7.42;25.08;4.45;2.78
30/06/2016;METALFRIO;FRIO3;47.18;473.99;0.10;10.05;-162.93;3.95;-6.12
31/12/2015;METALFRIO;FRIO3;35.41;439.04;0.08;12.40;-271.09;2.59;-8.41
30/06/2015;METALFRIO;FRIO3;32.93;437.94;0.08;13.30;-26.78;2.39;-3.76
31/12/2014;METALFRIO;FRIO3;17.77;338.79;0.05;19.07;-36.58;1.33;-5.81
30/06/2014;METALFRIO;FRIO3;15.01;411.46;0.04;27.41;-9.36;1.12;-2.18
31/12/2013;METALFRIO;FRIO3;0.05;373.66;0.00;8,123.00;-7.00;0.00;-1.55
30/06/2013;METALFRIO;FRIO3;-1.25;453.20;0.00;-363.73;1.46;-0.09;0.34
31/12/2012;METALFRIO;FRIO3;1.30;324.45;0.00;249.19;4.89;0.10;1.40
30/06/2012;METALFRIO;FRIO3;5.27;371.66;0.01;70.47;-4.85;0.43;-1.31
31/12/2011;METALFRIO;FRIO3;28.14;384.41;0.07;13.66;4.33;2.35;1.17
30/06/2011;METALFRIO;FRIO3;;629.56;;;;;
31/12/2010;METALFRIO;FRIO3;72.95;695.37;0.10;9.53;22.45;6.61;7.97
30/06/2010;METALFRIO;FRIO3;;545.56;;;;;
31/12/2009;METALFRIO;FRIO3;;515.85;;;;;
31/12/2020;RANDON PART;RAPT3;1,014.44;6,028.88;0.17;5.94;31.28;10.71;9.28
30/06/2020;RANDON PART;RAPT3;440.41;4,469.66;0.10;10.15;10.01;5.19;3.29
31/12/2019;RANDON PART;RAPT3;530.96;5,489.55;0.10;10.34;13.81;6.95;4.75
30/06/2019;RANDON PART;RAPT3;475.96;4,149.99;0.11;8.72;11.95;6.39;4.20
31/12/2018;RANDON PART;RAPT3;437.49;4,042.84;0.11;9.24;11.10;5.91;3.89
30/06/2018;RANDON PART;RAPT3;338.33;2,696.60;0.13;7.97;8.64;5.01;3.21
31/12/2017;RANDON PART;RAPT3;190.95;2,935.23;0.07;15.37;5.49;3.06;2.11
30/06/2017;RANDON PART;RAPT3;38.77;1,978.65;0.02;51.03;0.73;0.63;0.30
31/12/2016;RANDON PART;RAPT3;21.39;1,824.91;0.01;85.33;-0.60;0.33;-0.23
30/06/2016;RANDON PART;RAPT3;61.71;1,704.81;0.04;27.63;0.52;0.94;0.21
31/12/2015;RANDON PART;RAPT3;37.23;1,991.67;0.02;53.50;-0.05;0.52;-0.01
30/06/2015;RANDON PART;RAPT3;174.60;2,177.59;0.08;12.47;6.20;2.54;2.10
31/12/2014;RANDON PART;RAPT3;369.41;2,325.19;0.16;6.29;14.13;5.65;5.05
30/06/2014;RANDON PART;RAPT3;465.56;2,960.16;0.16;6.36;17.56;7.17;6.34
31/12/2013;RANDON PART;RAPT3;446.42;3,764.41;0.12;8.43;18.67;6.93;6.25
30/06/2013;RANDON PART;RAPT3;304.54;3,398.95;0.09;11.16;11.15;4.93;4.42
31/12/2012;RANDON PART;RAPT3;167.92;3,664.49;0.05;21.82;5.44;2.98;2.34
30/06/2012;RANDON PART;RAPT3;265.92;2,885.52;0.09;10.85;11.17;4.81;4.83
31/12/2011;RANDON PART;RAPT3;459.78;2,488.28;0.18;5.41;20.43;9.07;9.47
30/06/2011;RANDON PART;RAPT3;;3,009.05;;;;;
31/12/2010;RANDON PART;RAPT3;450.23;2,797.87;0.16;6.21;21.72;10.04;9.47
30/06/2010;RANDON PART;RAPT3;;2,735.23;;;;;
31/12/2009;RANDON PART;RAPT3;;2,686.95;;;;;
31/12/2020;EUCATEX;EUCA4;194.36;1,618.51;0.12;8.33;9.73;6.45;5.27
30/06/2020;EUCATEX;EUCA4;181.09;1,672.59;0.11;9.24;7.34;6.34;4.08
31/12/2019;EUCATEX;EUCA4;132.68;2,881.29;0.05;21.72;4.95;4.98;2.86
30/06/2019;EUCATEX;EUCA4;132.82;875.25;0.15;6.59;5.01;5.09;2.88
